epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,59933.2,1.1605,1.11264,1.17177,0.70355,0.52402,0.5919,0.41918,1.09451,0.91736,1.11968,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,60961.9,1.15917,1.11253,1.17172,0.70673,0.5252,0.59286,0.41899,1.09396,0.9164,1.11928,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,61980,1.15875,1.10774,1.16887,0.71588,0.52153,0.59294,0.42044,1.09299,0.91438,1.11837,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,62961.7,1.15425,1.10735,1.16911,0.71173,0.52331,0.59334,0.42081,1.09267,0.91322,1.11791,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,64230.9,1.158,1.10664,1.16933,0.71031,0.51884,0.59226,0.42091,1.09235,0.91187,1.11769,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,65507.9,1.1529,1.10089,1.1665,0.70774,0.51906,0.59359,0.42199,1.09154,0.91036,1.11707,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,66809.2,1.15178,1.09621,1.16568,0.70653,0.52058,0.59358,0.42172,1.09103,0.90905,1.11616,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,67967.1,1.15007,1.09431,1.16461,0.70373,0.52558,0.59619,0.42302,1.08991,0.90847,1.11513,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,69069.3,1.1492,1.0946,1.16459,0.70459,0.52688,0.59706,0.42368,1.09013,0.90752,1.11539,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,70152.4,1.14677,1.09048,1.16305,0.70294,0.52627,0.59769,0.42326,1.08881,0.90692,1.11407,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,71228.4,1.14549,1.08811,1.16013,0.70429,0.53112,0.59764,0.42315,1.08885,0.90639,1.11354,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,72321.6,1.14258,1.08633,1.16027,0.70678,0.52987,0.59848,0.42493,1.08802,0.90544,1.11262,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
